,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,DRIVER RATING,race_ID
12,Trevor Bayne,18,2,13,2,37,15,7,273,266,180,65.9,9,96,46.4,0,0.0,206,85.2,37
13,David Gilliland,39,17,14,8,39,25,-15,50,65,2,4.0,3,12,5.8,0,0.0,206,50.2,37
14,Clint Bowyer,10,14,15,3,35,20,-23,174,197,108,62.1,3,57,27.5,0,0.0,206,68.3,37
15,Jamie McMurray,19,27,16,14,38,26,-12,85,97,2,2.4,2,0,0.0,0,0.0,205,49.0,37
16,Alex Bowman,1,11,17,1,22,8,-7,233,240,200,85.8,4,183,88.4,13,6.3,205,96.8,37
17,"Martin Truex, Jr.",24,3,18,1,29,10,12,278,266,192,69.1,5,169,81.6,4,2.0,205,85.3,37
18,Kyle Larson,38,24,19,4,38,20,59,214,155,88,41.1,6,41,19.8,0,0.0,204,59.0,37
19,Gray Gaulding,34,16,20,9,37,25,-49,75,124,15,20.0,0,21,10.1,0,0.0,204,45.3,37
20,Jeffrey Earnhardt,27,13,21,10,36,23,-20,95,115,1,1.1,1,8,3.9,0,0.0,204,50.4,37
21,Mark Thompson,40,33,22,22,40,31,0,6,6,0,0.0,0,0,0.0,0,0.0,203,39.7,37
22,William Byron,33,28,23,9,36,20,16,212,196,78,36.8,5,44,21.3,0,0.0,203,61.0,37
23,D.J. Kennington,30,34,24,20,38,30,-15,29,44,0,0.0,0,0,0.0,0,0.0,201,39.5,37
24,Kyle Busch,12,35,25,2,39,29,-27,73,100,59,80.8,5,28,13.5,0,0.0,200,49.2,37
25,Kurt Busch,11,5,26,1,26,9,14,245,231,222,90.6,11,175,84.5,16,8.1,198,93.5,37
26,Matt DiBenedetto,36,21,27,3,39,20,-6,72,78,35,48.6,4,77,37.2,0,0.0,198,54.9,37
27,Brendan Gaughan,25,18,28,4,38,19,-1,188,189,82,43.6,4,88,42.5,0,0.0,198,56.1,37
28,"Ricky Stenhouse, Jr.",9,6,29,1,26,14,-14,201,215,172,85.6,3,109,52.7,11,5.6,197,90.1,37
29,David Ragan,15,22,30,4,32,23,-1,180,181,77,42.8,7,25,12.1,0,0.0,107,67.2,37
30,Kevin Harvick,6,26,31,2,31,19,-9,201,210,171,85.1,0,91,44.0,0,0.0,105,83.0,37
31,Brad Keselowski,31,25,32,2,33,21,28,184,156,133,72.3,2,82,39.6,0,0.0,102,66.3,37
32,Chase Elliott,4,30,33,1,29,22,3,247,244,198,80.2,3,77,37.2,4,4.0,101,63.7,37
33,Kasey Kahne,26,31,34,5,37,26,-19,155,174,113,72.9,0,54,26.1,0,0.0,101,35.0,37
34,Danica Patrick,28,32,35,11,28,26,2,150,148,22,14.7,3,18,8.7,0,0.0,101,40.0,37
35,Erik Jones,8,36,36,1,14,26,-5,125,130,117,93.6,2,59,28.5,11,18.6,59,76.4,37
36,Daniel Suarez,17,37,37,2,20,28,5,153,148,134,87.6,2,53,25.6,0,0.0,59,60.9,37
37,Jimmie Johnson,35,38,38,4,38,31,37,132,95,68,51.5,1,41,19.8,0,0.0,59,52.7,37
38,Ty Dillon,23,39,39,11,35,31,17,138,121,31,22.5,1,17,8.2,0,0.0,59,44.5,37
39,Corey LaJoie,32,40,40,28,37,38,-8,15,23,0,0.0,0,0,0.0,0,0.0,8,23.8,37
0,Kevin Harvick,3,2,1,1,19,3,20,52,32,43,82.7,78,321,98.8,181,55.7,325,146.1,38
1,Brad Keselowski,5,1,2,1,19,3,2,45,43,36,80.0,27,324,99.7,38,11.7,325,122.7,38
2,Clint Bowyer,9,10,3,2,21,6,13,69,56,54,78.3,17,324,99.7,0,0.0,325,109.7,38
3,Denny Hamlin,12,4,4,1,18,7,9,75,66,57,76.0,10,320,98.5,26,8.0,325,101.2,38
4,"Martin Truex, Jr.",35,15,5,1,35,8,33,92,59,60,65.2,11,313,96.3,1,0.3,325,103.2,38
5,Joey Logano,16,7,6,1,18,8,0,80,80,62,77.5,12,311,95.7,1,0.3,325,94.2,38
6,Kyle Busch,1,5,7,1,11,5,-7,53,60,46,86.8,23,325,100.0,9,2.8,325,110.0,38
7,Kurt Busch,7,3,8,1,13,5,-3,59,62,53,89.8,19,325,100.0,52,16.0,325,111.5,38
8,Kyle Larson,8,8,9,2,19,8,2,87,85,61,70.1,6,323,99.4,0,0.0,325,93.0,38
9,Chase Elliott,27,12,10,2,29,14,5,78,73,48,61.5,4,236,72.6,0,0.0,325,78.9,38
10,Erik Jones,10,16,11,7,24,16,-5,68,73,27,39.7,0,155,47.7,0,0.0,325,72.8,38
11,Ryan Blaney,26,13,12,8,26,14,12,75,63,35,46.7,3,255,78.5,0,0.0,325,80.2,38
12,Aric Almirola,11,9,13,2,20,12,3,82,79,63,76.8,2,302,92.9,0,0.0,325,82.6,38
13,Austin Dillon,25,11,14,6,32,15,8,75,67,32,42.7,0,171,52.6,0,0.0,324,69.2,38
14,Daniel Suarez,4,6,15,3,15,10,-7,51,58,43,84.3,7,325,100.0,0,0.0,324,84.9,38
15,"Ricky Stenhouse, Jr.",6,14,16,1,33,14,-9,78,87,46,59.0,2,203,62.5,0,0.0,324,73.5,38
16,Paul Menard,15,17,17,8,21,15,-8,59,67,25,42.4,0,133,40.9,0,0.0,324,69.3,38
17,William Byron,23,20,18,16,33,23,-3,56,59,0,0.0,2,0,0.0,0,0.0,323,51.0,38
18,Jamie McMurray,13,19,19,8,25,19,0,60,60,18,30.0,1,27,8.3,0,0.0,323,63.6,38
19,Alex Bowman,18,18,20,7,29,18,-3,74,77,18,24.3,2,71,21.9,0,0.0,322,68.0,38
20,Kasey Kahne,14,21,21,9,32,22,-5,77,82,5,6.5,9,8,2.5,0,0.0,322,58.5,38
21,Ryan Newman,2,33,22,1,33,23,-20,58,78,3,5.2,45,79,24.3,17,5.3,322,93.1,38
22,David Ragan,29,27,23,19,32,28,-6,94,100,0,0.0,2,0,0.0,0,0.0,321,41.8,38
23,Michael McDowell,17,28,24,14,30,26,-8,87,95,0,0.0,2,1,0.3,0,0.0,321,45.3,38
24,Chris Buescher,24,22,25,18,33,25,-11,78,89,0,0.0,0,0,0.0,0,0.0,321,50.4,38
25,Ty Dillon,28,26,26,17,32,25,4,85,81,0,0.0,4,0,0.0,0,0.0,321,47.6,38
26,Jimmie Johnson,22,29,27,10,33,24,5,77,72,12,15.6,3,21,6.5,0,0.0,321,54.7,38
27,Cole Whitt,32,30,28,16,33,31,3,52,49,0,0.0,0,0,0.0,0,0.0,320,36.5,38
28,A.J. Allmendinger,21,25,29,21,33,26,-2,84,86,0,0.0,3,0,0.0,0,0.0,320,44.5,38
29,Ross Chastain,34,32,30,23,34,32,3,53,50,0,0.0,0,0,0.0,0,0.0,319,32.7,38
30,Matt DiBenedetto,30,31,31,27,33,31,-8,32,40,0,0.0,0,0,0.0,0,0.0,319,32.7,38
31,Bubba Wallace,19,23,32,15,32,25,4,89,85,0,0.0,0,1,0.3,0,0.0,319,44.3,38
32,Harrison Rhodes,36,34,33,33,36,34,1,3,2,0,0.0,0,0,0.0,0,0.0,310,28.3,38
33,Jeffrey Earnhardt,33,35,34,33,36,35,1,3,2,0,0.0,0,0,0.0,0,0.0,305,26.1,38
34,Trevor Bayne,20,24,35,13,33,25,-15,76,91,0,0.0,0,1,0.3,0,0.0,292,43.8,38
35,Gray Gaulding,31,36,36,31,36,35,-6,0,6,0,0.0,0,0,0.0,0,0.0,99,23.3,38
0,Kevin Harvick,2,1,1,1,11,2,4,28,24,23,82.1,64,267,100.0,214,80.2,267,150.0,39
1,Kyle Busch,13,9,2,1,19,7,5,64,59,44,68.8,22,260,97.4,10,3.8,267,110.0,39
2,Kyle Larson,5,5,3,2,15,5,10,74,64,54,73.0,13,267,100.0,0,0.0,267,117.1,39
3,"Martin Truex, Jr.",4,6,4,1,23,5,3,66,63,45,68.2,23,266,99.6,6,2.3,267,113.2,39
4,Ryan Blaney,1,3,5,1,24,3,0,51,51,29,56.9,12,266,99.6,1,0.4,267,114.3,39
5,Brad Keselowski,8,4,6,2,25,6,0,73,73,46,63.0,14,260,97.4,0,0.0,267,103.5,39
6,Joey Logano,10,2,7,1,33,6,-2,84,86,40,47.6,7,264,98.9,25,9.4,267,106.1,39
7,Erik Jones,9,11,8,5,23,11,-4,67,71,42,62.7,13,256,95.9,0,0.0,267,90.8,39
8,Paul Menard,12,10,9,4,21,10,-1,69,70,48,69.6,4,258,96.6,0,0.0,267,89.6,39
9,Aric Almirola,29,14,10,6,31,15,16,83,67,29,34.9,1,212,79.4,0,0.0,266,79.4,39
10,Ryan Newman,25,18,11,6,29,17,10,88,78,21,23.9,1,104,39.0,0,0.0,266,75.6,39
11,Jimmie Johnson,14,22,12,4,35,20,19,98,79,19,19.4,9,87,32.6,0,0.0,266,68.6,39
12,Austin Dillon,16,15,13,9,32,15,-3,61,64,22,36.1,0,144,53.9,0,0.0,266,74.0,39
13,"Ricky Stenhouse, Jr.",7,20,14,6,31,18,-6,69,75,11,15.9,0,56,21.0,0,0.0,265,75.5,39
14,Chris Buescher,28,19,15,6,36,20,11,81,70,8,9.9,5,46,17.2,0,0.0,265,59.6,39
15,Alex Bowman,20,17,16,5,33,17,0,72,72,16,22.2,9,79,29.6,0,0.0,265,64.5,39
16,Denny Hamlin,19,16,17,2,21,14,4,80,76,40,50.0,7,172,64.4,0,0.0,265,78.5,39
17,Clint Bowyer,11,13,18,8,29,15,-7,68,75,29,42.7,1,150,56.2,0,0.0,265,73.6,39
18,Kasey Kahne,21,23,19,2,33,22,-4,81,85,9,11.1,5,6,2.3,0,0.0,264,51.4,39
19,Trevor Bayne,24,21,20,12,33,22,-1,78,79,3,3.9,0,2,0.8,0,0.0,264,55.5,39
20,Bubba Wallace,26,24,21,19,34,23,6,74,68,0,0.0,0,0,0.0,0,0.0,264,55.7,39
21,Matt DiBenedetto,32,28,22,3,32,25,-1,95,96,5,5.3,0,9,3.4,0,0.0,264,49.0,39
22,David Ragan,23,25,23,2,31,24,-4,71,75,5,7.0,5,19,7.1,0,0.0,264,51.5,39
23,Ty Dillon,31,26,24,18,37,27,1,77,76,0,0.0,0,0,0.0,0,0.0,264,42.0,39
24,Cole Custer,30,27,25,6,36,28,-1,69,70,2,2.9,0,1,0.4,0,0.0,264,39.8,39
25,Daniel Suarez,18,31,26,14,36,22,-10,84,94,7,8.3,1,15,5.6,0,0.0,263,55.7,39
26,William Byron,17,32,27,5,34,28,-11,68,79,5,7.4,1,11,4.1,0,0.0,263,48.4,39
27,Cole Whitt,34,29,28,6,34,30,-2,50,52,7,14.0,0,11,4.1,0,0.0,262,38.1,39
28,Ross Chastain,33,30,29,8,35,30,2,53,51,5,9.4,0,7,2.6,0,0.0,262,35.7,39
29,A.J. Allmendinger,27,33,30,7,36,31,-2,61,63,3,4.9,3,1,0.4,0,0.0,262,36.6,39
30,Jeffrey Earnhardt,36,34,31,31,37,34,0,17,17,0,0.0,0,0,0.0,0,0.0,255,28.7,39
31,Joey Gase,37,36,32,31,37,35,2,11,9,0,0.0,0,0,0.0,0,0.0,253,26.5,39
32,Gray Gaulding,35,35,33,29,37,34,-4,24,28,0,0.0,0,0,0.0,0,0.0,195,29.2,39
33,Chase Elliott,6,8,34,3,18,16,-3,45,48,25,55.6,6,182,68.2,0,0.0,183,76.5,39
34,Kurt Busch,3,7,35,2,27,15,-1,50,51,28,56.0,2,181,67.8,0,0.0,183,78.4,39
35,Jamie McMurray,22,12,36,8,25,21,5,59,54,20,33.9,0,128,47.9,0,0.0,176,62.0,39
36,Michael McDowell,15,37,37,1,29,29,-30,36,66,6,16.7,8,18,6.7,11,11.0,100,47.7,39
0,Kevin Harvick,10,2,1,1,22,3,14,52,38,39,75.0,56,310,99.4,38,12.2,312,129.8,40
1,Kyle Busch,7,1,2,1,11,3,9,38,29,33,86.8,65,312,100.0,128,41.0,312,137.8,40
2,Chase Elliott,3,5,3,3,26,6,9,45,36,28,62.2,32,303,97.1,0,0.0,312,115.4,40
3,Denny Hamlin,6,19,4,1,30,6,14,64,50,41,64.1,14,290,93.0,33,10.6,312,111.8,40
4,"Martin Truex, Jr.",1,3,5,1,16,5,0,34,34,27,79.4,9,311,99.7,3,1.0,312,112.7,40
5,Clint Bowyer,19,4,6,3,29,10,18,65,47,49,75.4,23,282,90.4,0,0.0,312,103.5,40
6,Aric Almirola,22,16,7,2,23,13,-3,53,56,23,43.4,0,182,58.3,0,0.0,312,87.7,40
7,Daniel Suarez,15,12,8,5,31,14,12,60,48,30,50.0,0,199,63.8,0,0.0,312,84.2,40
8,Erik Jones,9,10,9,3,30,12,19,79,60,42,53.2,7,250,80.1,0,0.0,312,90.4,40
9,Kurt Busch,23,23,10,1,26,13,30,75,45,39,52.0,11,218,69.9,6,1.9,312,87.0,40
10,Ryan Newman,13,17,11,1,25,13,9,56,47,36,64.3,5,208,66.7,23,7.4,312,79.9,40
11,William Byron,11,9,12,1,29,13,-20,53,73,18,34.0,6,213,68.3,15,4.8,312,82.2,40
12,Alex Bowman,4,22,13,3,29,16,18,81,63,24,29.6,1,164,52.6,0,0.0,312,74.4,40
13,Jimmie Johnson,17,13,14,8,29,15,1,57,56,26,45.6,0,181,58.0,0,0.0,312,77.2,40
14,Brad Keselowski,25,24,15,1,32,11,7,61,54,24,39.3,19,241,77.2,12,3.9,312,92.1,40
15,Ryan Blaney,12,8,16,5,24,15,-25,57,82,17,29.8,0,121,38.8,0,0.0,311,67.7,40
16,Austin Dillon,18,7,17,5,24,15,-18,56,74,20,35.7,0,127,40.7,0,0.0,311,66.2,40
17,Kyle Larson,2,15,18,1,30,13,-10,46,56,9,19.6,15,181,58.0,54,17.4,311,86.4,40
18,Joey Logano,5,11,19,5,27,13,-17,54,71,28,51.9,0,217,69.6,0,0.0,311,80.0,40
19,Trevor Bayne,21,14,20,12,34,23,1,62,61,4,6.5,0,15,4.8,0,0.0,311,53.5,40
20,A.J. Allmendinger,20,31,21,13,31,22,7,59,52,0,0.0,0,3,1.0,0,0.0,311,57.3,40
21,David Ragan,16,20,22,16,30,25,-25,52,77,1,1.9,0,0,0.0,0,0.0,311,49.7,40
22,"Ricky Stenhouse, Jr.",29,26,23,3,32,22,18,92,74,7,7.6,4,28,9.0,0,0.0,311,56.4,40
23,Kasey Kahne,26,25,24,3,35,23,-10,54,64,9,16.7,2,38,12.2,0,0.0,311,51.7,40
24,Matt DiBenedetto,30,21,25,9,32,28,-8,42,50,4,9.5,0,5,1.6,0,0.0,311,43.0,40
25,Jamie McMurray,8,6,26,4,30,14,-19,53,72,28,52.8,3,222,71.2,0,0.0,310,75.0,40
26,Ross Chastain,36,28,27,2,36,28,-1,45,46,5,11.1,0,21,6.7,0,0.0,310,39.2,40
27,Bubba Wallace,27,29,28,20,34,28,2,51,49,0,0.0,0,0,0.0,0,0.0,309,49.7,40
28,Chris Buescher,24,34,29,21,34,31,-3,21,24,0,0.0,0,0,0.0,0,0.0,309,37.7,40
29,Ty Dillon,28,27,30,3,30,25,-6,65,71,9,13.9,0,13,4.2,0,0.0,309,42.7,40
30,D.J. Kennington,34,32,31,16,36,31,2,37,35,1,2.7,0,0,0.0,0,0.0,309,33.3,40
31,Michael McDowell,31,30,32,4,33,28,4,48,44,0,0.0,0,6,1.9,0,0.0,308,38.5,40
32,Timmy Hill,35,33,33,6,36,33,0,7,7,0,0.0,0,1,0.3,0,0.0,306,28.5,40
33,Gray Gaulding,32,35,34,5,35,34,-5,11,16,0,0.0,0,2,0.6,0,0.0,304,30.1,40
34,Jeffrey Earnhardt,37,36,35,35,37,36,0,1,1,0,0.0,0,0,0.0,0,0.0,292,24.8,40
35,Paul Menard,14,18,36,12,27,26,-21,23,44,7,30.4,0,16,5.1,0,0.0,189,51.7,40
36,Corey LaJoie,33,37,37,33,35,36,-5,1,6,0,0.0,0,0,0.0,0,0.0,23,24.3,40
0,"Martin Truex, Jr.",1,1,1,1,9,2,6,39,33,33,84.6,69,200,100.0,125,62.5,200,150.0,41
1,Kyle Larson,3,2,2,2,28,6,48,117,69,63,53.9,11,184,92.0,0,0.0,200,113.4,41
2,Kyle Busch,2,4,3,1,5,2,1,33,32,28,84.9,26,200,100.0,62,31.0,200,126.3,41
3,Brad Keselowski,11,5,4,2,21,5,8,59,51,50,84.8,7,197,98.5,0,0.0,200,112.2,41
4,Joey Logano,6,3,5,1,33,5,-7,85,92,36,42.4,9,196,98.0,9,4.5,200,113.0,41
5,Denny Hamlin,25,6,6,1,28,10,29,117,88,56,47.9,5,169,84.5,1,0.5,200,99.9,41
6,Erik Jones,4,7,7,3,14,7,-3,59,62,49,83.1,0,200,100.0,0,0.0,200,101.3,41
7,Ryan Blaney,8,20,8,5,32,17,-3,119,122,45,37.8,13,111,55.5,0,0.0,200,92.3,41
8,Jimmie Johnson,33,8,9,4,33,11,14,103,89,38,36.9,0,162,81.0,0,0.0,200,92.5,41
9,Austin Dillon,5,15,10,5,29,14,-20,101,121,39,38.6,0,147,73.5,0,0.0,200,85.0,41
10,Clint Bowyer,26,9,11,6,29,12,22,126,104,58,46.0,0,152,76.0,0,0.0,199,85.8,41
11,Aric Almirola,27,10,12,6,27,14,11,118,107,54,45.8,0,142,71.0,0,0.0,199,76.5,41
12,Alex Bowman,28,16,13,12,32,17,16,134,118,39,29.1,0,88,44.0,0,0.0,199,72.2,41
13,Kurt Busch,7,12,14,5,25,11,-3,94,97,59,62.8,0,186,93.0,0,0.0,199,89.2,41
14,William Byron,29,14,15,1,31,16,-10,122,132,31,25.4,0,121,60.5,1,0.5,199,71.0,41
15,Chase Elliott,31,13,16,7,31,16,0,131,131,46,35.1,0,89,44.5,0,0.0,199,67.7,41
16,Jamie McMurray,15,18,17,1,26,14,-5,113,118,53,46.9,0,119,59.5,1,0.5,199,73.9,41
17,"Ricky Stenhouse, Jr.",16,30,18,5,33,20,-10,118,128,12,10.2,3,17,8.5,0,0.0,199,61.2,41
18,Paul Menard,14,17,19,7,31,17,3,120,117,37,30.8,10,94,47.0,0,0.0,199,76.5,41
19,Bubba Wallace,19,25,20,14,34,24,0,112,112,2,1.8,0,3,1.5,0,0.0,199,53.0,41
20,Ryan Newman,9,21,21,7,30,18,-5,103,108,26,25.2,0,57,28.5,0,0.0,199,60.5,41
21,A.J. Allmendinger,32,24,22,10,36,24,2,121,119,6,5.0,0,7,3.5,0,0.0,199,49.8,41
22,Daniel Suarez,30,11,23,8,30,20,5,133,128,33,24.8,0,61,30.5,0,0.0,199,59.8,41
23,Kasey Kahne,34,26,24,1,35,23,-22,109,131,2,1.8,2,7,3.5,1,0.5,199,52.7,41
24,David Ragan,21,23,25,6,32,25,-16,137,153,9,6.6,0,10,5.0,0,0.0,199,46.3,41
25,Michael McDowell,22,27,26,7,34,26,-16,125,141,7,5.6,0,8,4.0,0,0.0,199,43.3,41
26,Ty Dillon,17,31,27,13,36,29,-13,71,84,3,4.2,0,1,0.5,0,0.0,198,40.5,41
27,Cole Whitt,37,32,28,6,37,30,-3,80,83,7,8.8,0,3,1.5,0,0.0,198,35.1,41
28,Ross Chastain,36,29,29,2,36,29,5,107,102,10,9.4,0,10,5.0,0,0.0,198,36.7,41
29,Chris Buescher,12,22,30,12,34,22,-19,106,125,5,4.7,6,14,7.0,0,0.0,197,52.1,41
30,Matt DiBenedetto,18,28,31,2,33,29,-11,82,93,4,4.9,2,1,0.5,0,0.0,196,37.5,41
31,Gray Gaulding,20,33,32,20,36,33,-1,32,33,0,0.0,0,0,0.0,0,0.0,194,31.2,41
32,Timmy Hill,35,35,33,29,36,35,-2,24,26,0,0.0,0,0,0.0,0,0.0,193,27.1,41
33,Reed Sorenson,24,34,34,20,36,34,4,37,33,0,0.0,0,0,0.0,0,0.0,193,28.0,41
34,Kevin Harvick,10,37,35,3,37,30,8,39,31,28,71.8,11,37,18.5,0,0.0,191,59.6,41
35,Jeffrey Earnhardt,23,36,36,23,37,36,0,7,7,0,0.0,0,0,0.0,0,0.0,189,23.7,41
36,Trevor Bayne,13,19,37,10,29,27,-12,66,78,2,3.0,0,7,3.5,0,0.0,108,54.5,41
0,Clint Bowyer,9,2,1,1,19,3,9,18,9,18,100.0,75,499,99.8,215,43.0,500,137.9,42
1,Kyle Busch,2,3,2,1,4,3,-1,9,10,9,100.0,77,500,100.0,24,4.8,500,126.8,42
2,Ryan Blaney,5,1,3,1,6,3,0,11,11,11,100.0,30,500,100.0,145,29.0,500,121.0,42
3,"Martin Truex, Jr.",1,13,4,1,14,7,-6,23,29,23,100.0,29,500,100.0,4,0.8,500,102.2,42
4,Kevin Harvick,8,6,5,3,9,6,7,21,14,21,100.0,33,500,100.0,0,0.0,500,107.0,42
5,Joey Logano,3,9,6,3,13,8,-6,20,26,20,100.0,7,500,100.0,0,0.0,500,99.4,42
6,Alex Bowman,16,15,7,7,24,14,6,56,50,26,46.4,13,315,63.0,0,0.0,500,85.5,42
7,A.J. Allmendinger,25,8,8,5,25,9,25,41,16,28,68.3,13,464,92.8,0,0.0,500,94.5,42
8,Chase Elliott,21,16,9,9,25,16,3,26,23,18,69.2,8,191,38.2,0,0.0,500,77.5,42
9,Brad Keselowski,4,4,10,1,10,5,-10,21,31,21,100.0,28,500,100.0,1,0.2,500,105.9,42
10,Kurt Busch,11,7,11,4,20,8,-9,22,31,22,100.0,17,499,99.8,0,0.0,500,93.3,42
11,Denny Hamlin,6,5,12,1,17,6,2,17,15,17,100.0,42,498,99.6,111,22.2,500,109.4,42
12,Paul Menard,15,11,13,6,16,12,-5,26,31,26,100.0,8,498,99.6,0,0.0,500,85.5,42
13,Aric Almirola,10,14,14,4,33,15,27,45,18,14,31.1,26,258,51.6,0,0.0,500,79.9,42
14,Jimmie Johnson,18,10,15,9,21,12,2,26,24,24,92.3,4,454,90.8,0,0.0,499,81.6,42
15,Kyle Larson,7,12,16,7,24,14,-10,25,35,19,76.0,4,439,87.8,0,0.0,499,78.0,42
16,Erik Jones,13,18,17,13,23,17,-2,21,23,11,52.4,2,155,31.0,0,0.0,497,73.2,42
17,Daniel Suarez,23,17,18,9,23,19,4,34,30,8,23.5,11,55,11.0,0,0.0,497,68.1,42
18,Ryan Newman,14,19,19,8,19,17,-6,18,24,11,61.1,0,118,23.6,0,0.0,497,70.3,42
19,William Byron,20,23,20,16,26,21,-10,30,40,0,0.0,0,0,0.0,0,0.0,497,62.7,42
20,Michael McDowell,24,20,21,18,36,22,3,44,41,0,0.0,0,0,0.0,0,0.0,497,57.2,42
21,Ty Dillon,32,22,22,20,32,23,-1,29,30,0,0.0,1,0,0.0,0,0.0,496,54.4,42
22,Chris Buescher,22,25,23,19,31,25,3,32,29,0,0.0,0,0,0.0,0,0.0,496,53.5,42
23,Kasey Kahne,29,24,24,19,29,24,1,9,8,0,0.0,0,0,0.0,0,0.0,496,54.8,42
24,David Ragan,28,26,25,21,31,26,-7,30,37,0,0.0,0,0,0.0,0,0.0,495,48.0,42
25,Jamie McMurray,26,21,26,6,30,21,9,42,33,0,0.0,2,2,0.4,0,0.0,495,58.1,42
26,Cole Whitt,35,32,27,16,35,28,-7,37,44,0,0.0,31,0,0.0,0,0.0,493,44.2,42
27,D.J. Kennington,37,31,28,27,38,31,6,23,17,0,0.0,0,0,0.0,0,0.0,493,34.7,42
28,Ross Chastain,33,30,29,28,37,31,3,22,19,0,0.0,0,0,0.0,0,0.0,493,35.5,42
29,Austin Dillon,12,33,30,10,37,30,18,33,15,4,12.1,0,52,10.4,0,0.0,493,57.9,42
30,J.J. Yeley,38,29,31,1,38,30,-5,28,33,0,0.0,0,1,0.2,0,0.0,493,36.3,42
31,Matt DiBenedetto,31,27,32,24,34,30,-6,29,35,0,0.0,0,0,0.0,0,0.0,488,41.0,42
32,Trevor Bayne,27,28,33,15,34,28,-12,40,52,0,0.0,4,1,0.2,0,0.0,486,43.8,42
33,Bubba Wallace,19,36,34,12,38,34,-6,14,20,0,0.0,0,1,0.2,0,0.0,486,38.5,42
34,Harrison Rhodes,30,34,35,28,38,35,-8,8,16,0,0.0,0,0,0.0,0,0.0,482,25.8,42
35,Gray Gaulding,34,37,36,30,38,35,1,15,14,0,0.0,0,0,0.0,0,0.0,481,31.7,42
36,"Ricky Stenhouse, Jr.",17,35,37,17,38,36,-3,11,14,0,0.0,1,0,0.0,0,0.0,481,25.5,42
37,Landon Cassill,36,38,38,31,36,36,-9,10,19,0,0.0,0,0,0.0,0,0.0,211,26.7,42
0,Kyle Busch,8,1,1,1,25,4,-1,55,56,35,63.6,70,331,99.1,116,34.7,334,135.3,43
1,Kevin Harvick,2,15,2,1,22,7,15,50,35,37,74.0,82,304,91.0,87,26.1,334,129.9,43
2,Jamie McMurray,24,11,3,2,29,9,9,67,58,35,52.2,1,316,94.6,0,0.0,334,94.2,43
3,Erik Jones,21,4,4,1,22,6,-1,55,56,30,54.6,15,322,96.4,64,19.2,334,108.4,43
4,Ryan Blaney,4,16,5,2,28,11,-10,80,90,36,45.0,11,269,80.5,0,0.0,334,97.0,43
5,Joey Logano,7,3,6,1,17,5,9,58,49,44,75.9,0,333,99.7,0,0.0,334,103.3,43
6,Kurt Busch,1,2,7,1,12,4,-6,45,51,36,80.0,28,334,100.0,40,12.0,334,110.8,43
7,Bubba Wallace,15,17,8,2,29,15,-2,68,70,21,30.9,0,183,54.8,0,0.0,334,75.5,43
8,Clint Bowyer,3,5,9,2,16,7,-2,53,55,46,86.8,12,333,99.7,0,0.0,334,96.9,43
9,William Byron,33,13,10,1,35,14,15,74,59,28,37.8,1,225,67.4,1,0.3,334,81.6,43
10,Chase Elliott,20,6,11,1,22,9,4,76,72,39,51.3,11,305,91.3,4,1.2,333,88.4,43
11,Trevor Bayne,13,14,12,7,28,16,-2,57,59,22,38.6,5,198,59.3,0,0.0,333,69.1,43
12,Ty Dillon,23,18,13,5,30,19,-1,74,75,15,20.3,1,110,32.9,0,0.0,332,60.2,43
13,Michael McDowell,27,19,14,2,27,18,-4,59,63,7,11.9,0,41,12.3,0,0.0,332,62.2,43
14,Chris Buescher,18,20,15,10,26,17,-11,57,68,18,31.6,0,84,25.2,0,0.0,331,67.7,43
15,Matt DiBenedetto,30,24,16,4,33,22,5,44,39,3,6.8,0,5,1.5,0,0.0,329,51.2,43
16,Kasey Kahne,28,23,17,10,35,20,1,52,51,10,19.2,2,60,18.0,0,0.0,328,54.3,43
17,Ross Chastain,31,26,18,12,36,25,12,48,36,6,12.5,0,4,1.2,0,0.0,325,48.7,43
18,Cole Whitt,34,28,19,9,34,25,-2,45,47,8,17.8,0,9,2.7,0,0.0,324,49.5,43
19,Gray Gaulding,32,32,20,20,33,27,-2,35,37,0,0.0,0,0,0.0,0,0.0,322,43.1,43
20,Landon Cassill,35,31,21,21,37,29,6,19,13,0,0.0,0,0,0.0,0,0.0,321,35.2,43
21,Harrison Rhodes,36,30,22,22,36,29,2,26,24,0,0.0,0,0,0.0,0,0.0,319,39.0,43
22,David Ragan,29,21,23,2,31,22,-5,55,60,5,9.1,0,11,3.3,0,0.0,317,49.1,43
23,A.J. Allmendinger,22,29,24,16,32,23,-17,46,63,0,0.0,0,0,0.0,0,0.0,316,58.7,43
24,"Ricky Stenhouse, Jr.",26,8,25,1,29,12,1,82,81,39,47.6,2,268,80.2,10,3.2,315,68.3,43
25,Austin Dillon,17,25,26,15,36,26,3,36,33,1,2.8,0,3,0.9,0,0.0,304,48.1,43
26,Ryan Newman,25,12,27,2,26,13,13,65,52,36,55.4,0,258,77.3,0,0.0,303,65.5,43
27,Alex Bowman,16,34,28,13,37,33,7,12,5,3,25.0,2,1,0.3,0,0.0,294,38.4,43
