,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,DRIVER RATING,race_ID
24,Joey Logano,26,32,25,3,34,21,4,38,34,20,52.6,0,139,34.2,0,0.0,402,68.6,13
25,Ryan Sieg,34,34,26,26,39,33,-1,4,5,0,0.0,0,0,0.0,0,0.0,400,33.7,13
26,Jeffrey Earnhardt,39,30,27,18,39,30,3,9,6,0,0.0,0,0,0.0,0,0.0,400,34.1,13
27,Timmy Hill,37,33,28,8,38,31,-2,8,10,0,0.0,0,6,1.5,0,0.0,398,35.0,13
28,Matt DiBenedetto,25,31,29,25,37,30,5,26,21,0,0.0,0,0,0.0,0,0.0,397,38.7,13
29,David Ragan,33,26,30,7,36,27,-9,31,40,0,0.0,0,7,1.7,0,0.0,393,40.8,13
30,Clint Bowyer,22,36,31,4,36,29,14,22,8,10,45.5,3,47,11.6,0,0.0,391,65.8,13
31,Ryan Blaney,15,7,32,2,36,18,0,31,31,24,77.4,10,232,57.1,0,0.0,373,79.9,13
32,Paul Menard,23,27,33,5,32,23,1,48,47,9,18.8,0,25,6.2,0,0.0,343,49.7,13
33,Regan Smith,30,23,34,5,30,23,13,52,39,12,23.1,0,61,15.0,0,0.0,329,52.0,13
34,Cody Ware,38,35,35,33,39,34,-2,4,6,0,0.0,0,0,0.0,0,0.0,283,27.8,13
35,Landon Cassill,27,21,36,6,35,29,-23,31,54,1,3.2,0,9,2.2,0,0.0,257,41.3,13
36,Kurt Busch,6,37,37,1,36,30,7,8,1,8,100.0,11,65,16.0,0,0.0,93,49.7,13
37,Brad Keselowski,8,38,38,3,34,31,6,7,1,7,100.0,1,65,16.0,0,0.0,66,45.4,13
38,"Ricky Stenhouse, Jr.",12,39,39,1,35,34,1,9,8,6,66.7,3,47,11.6,3,4.8,62,37.6,13
0,Ryan Blaney,4,4,1,1,39,10,-10,99,109,30,30.3,5,102,63.8,10,6.3,160,105.6,14
1,Kevin Harvick,12,10,2,1,32,8,25,123,98,68,55.3,11,141,88.1,0,0.0,160,113.7,14
2,Erik Jones,15,2,3,1,25,6,-11,69,80,45,65.2,14,150,93.8,20,12.5,160,112.7,14
3,Kurt Busch,5,19,4,2,27,9,12,98,86,55,56.1,5,128,80.0,0,0.0,160,103.5,14
4,Brad Keselowski,6,12,5,1,33,7,1,101,100,46,45.5,3,136,85.0,11,6.9,160,105.0,14
5,"Martin Truex, Jr.",2,18,6,1,32,11,43,123,80,58,47.2,20,117,73.1,5,3.1,160,96.6,14
6,Kyle Larson,7,9,7,1,27,7,17,94,77,68,72.3,9,156,97.5,9,5.6,160,109.5,14
7,Chase Elliott,25,11,8,2,25,9,27,104,77,68,65.4,14,142,88.8,0,0.0,160,100.2,14
8,Kyle Busch,1,1,9,1,23,2,-7,50,57,30,60.0,34,159,99.4,100,62.5,160,130.7,14
9,Matt Kenseth,3,15,10,3,35,12,6,119,113,53,44.5,1,116,72.5,0,0.0,160,82.5,14
10,"Ricky Stenhouse, Jr.",23,22,11,1,35,16,-24,94,118,21,22.3,4,72,45.0,3,1.9,160,85.8,14
11,Denny Hamlin,18,3,12,1,36,12,-4,90,94,36,40.0,1,109,68.1,1,0.6,160,82.9,14
12,Austin Dillon,17,14,13,3,32,14,9,110,101,38,34.6,0,102,63.8,0,0.0,160,78.0,14
13,Ryan Newman,10,21,14,5,36,19,3,100,97,18,18.0,1,41,25.6,0,0.0,160,67.8,14
14,Daniel Suarez,14,5,15,1,26,13,-10,93,103,45,48.4,0,111,69.4,1,0.6,160,77.0,14
15,Danica Patrick,24,7,16,2,27,16,-8,95,103,24,25.3,0,59,36.9,0,0.0,160,67.8,14
16,Clint Bowyer,20,28,17,4,39,20,5,93,88,19,20.4,0,38,23.8,0,0.0,160,78.8,14
17,Ty Dillon,27,17,18,2,32,20,-5,99,104,21,21.2,0,32,20.0,0,0.0,160,62.5,14
18,Chris Buescher,29,27,19,7,33,23,5,100,95,16,16.0,1,18,11.3,0,0.0,160,55.1,14
19,Paul Menard,13,8,20,5,29,15,-17,91,108,27,29.7,2,70,43.8,0,0.0,160,67.3,14
20,Trevor Bayne,22,24,21,2,30,20,-13,85,98,10,11.8,0,30,18.8,0,0.0,160,71.5,14
21,A.J. Allmendinger,21,25,22,8,35,22,-6,92,98,16,17.4,0,14,8.8,0,0.0,160,54.6,14
22,Joey Logano,9,23,23,6,39,19,-9,113,122,37,32.7,7,61,38.1,0,0.0,160,63.4,14
23,Michael McDowell,11,6,24,4,30,18,-28,96,124,27,28.1,1,51,31.9,0,0.0,160,65.6,14
24,David Ragan,31,29,25,8,31,24,-3,86,89,19,22.1,0,20,12.5,0,0.0,159,46.5,14
25,Bubba Wallace,16,30,26,6,37,28,-11,53,64,6,11.3,1,4,2.5,0,0.0,159,48.0,14
26,Landon Cassill,34,31,27,13,35,29,0,52,52,3,5.8,0,1,0.6,0,0.0,158,39.6,14
27,Corey LaJoie,35,32,28,24,38,31,-1,46,47,0,0.0,0,0,0.0,0,0.0,157,40.0,14
28,Gray Gaulding,33,34,29,29,39,33,-1,27,28,0,0.0,0,0,0.0,0,0.0,156,33.3,14
29,Cole Whitt,32,33,30,12,37,30,-3,43,46,7,16.3,0,7,4.4,0,0.0,155,41.5,14
30,Reed Sorenson,36,35,31,27,38,34,0,41,41,0,0.0,0,0,0.0,0,0.0,154,34.2,14
31,Matt DiBenedetto,30,26,32,17,39,28,-8,54,62,0,0.0,0,0,0.0,0,0.0,153,39.7,14
32,Derrike Cope,39,37,33,33,39,36,1,20,19,0,0.0,0,0,0.0,0,0.0,153,27.5,14
33,Jeffrey Earnhardt,37,36,34,25,38,35,0,37,37,0,0.0,0,0,0.0,0,0.0,146,30.7,14
34,Kasey Kahne,26,20,35,6,35,18,13,107,94,29,27.1,0,59,36.9,0,0.0,140,57.8,14
35,Jimmie Johnson,19,16,36,5,34,21,24,80,56,40,50.0,2,65,40.6,0,0.0,95,80.4,14
36,Jamie McMurray,8,13,37,3,30,20,-3,61,64,31,50.8,0,83,51.9,0,0.0,95,82.3,14
37,"Dale Earnhardt, Jr.",28,38,38,4,35,31,-2,64,66,8,12.5,2,6,3.8,0,0.0,58,36.2,14
38,Cody Ware,38,39,39,31,39,37,0,27,27,0,0.0,0,0,0.0,0,0.0,35,24.2,14
0,Kyle Larson,1,1,1,1,13,2,0,32,32,23,71.9,31,200,100.0,96,48.0,200,140.5,15
1,Chase Elliott,10,9,2,1,13,6,8,40,32,32,80.0,3,200,100.0,0,0.0,200,106.8,15
2,Joey Logano,7,10,3,3,20,10,4,52,48,33,63.5,0,165,82.5,0,0.0,200,94.7,15
3,Denny Hamlin,5,7,4,1,25,6,10,45,35,33,73.3,7,197,98.5,0,0.0,200,108.6,15
4,Jamie McMurray,8,12,5,5,32,12,0,61,61,31,50.8,1,139,69.5,0,0.0,200,87.9,15
5,"Martin Truex, Jr.",2,3,6,1,22,3,2,37,35,27,73.0,50,198,99.0,62,31.0,200,126.4,15
6,Kyle Busch,4,4,7,1,9,3,-7,23,30,18,78.3,32,200,100.0,40,20.0,200,121.7,15
7,"Ricky Stenhouse, Jr.",21,16,8,6,31,16,30,78,48,26,33.3,0,85,42.5,0,0.0,200,78.2,15
8,"Dale Earnhardt, Jr.",17,13,9,3,24,13,4,71,67,40,56.3,0,157,78.5,0,0.0,200,84.7,15
9,Jimmie Johnson,13,18,10,3,37,16,28,90,62,25,27.8,0,84,42.0,0,0.0,200,76.7,15
10,Matt Kenseth,9,2,11,2,26,7,7,56,49,34,60.7,18,184,92.0,0,0.0,200,106.7,15
11,Kurt Busch,15,11,12,7,36,14,35,92,57,32,34.8,0,124,62.0,0,0.0,200,79.0,15
12,Erik Jones,14,28,13,2,37,17,-19,76,95,24,31.6,9,116,58.0,0,0.0,200,81.0,15
13,Kevin Harvick,11,5,14,2,30,11,19,65,46,23,35.4,1,167,83.5,0,0.0,200,86.9,15
14,Ryan Newman,19,21,15,9,28,20,-17,65,82,11,16.9,0,21,10.5,0,0.0,200,64.8,15
15,Brad Keselowski,12,8,16,1,24,11,-1,57,58,35,61.4,1,181,90.5,2,1.0,200,86.0,15
16,Trevor Bayne,27,19,17,2,35,17,-4,71,75,16,22.5,0,24,12.0,0,0.0,200,65.3,15
