,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track
32,33,18,31,Ryan Newman,Caterpillar (Richard Childress),Chevrolet,203,crash,0,4,0,Kansas
33,34,8,1,Jamie McMurray,Cessna / Bomasada (Chip Ganassi),Chevrolet,198,crash,1,13,0,Kansas
34,35,6,77,Erik Jones,5-hour Energy Extra Strength (Barney Visser),Toyota,197,crash,0,8,0,Kansas
35,36,5,19,Daniel Suarez,Arris High-Speed Modems (Joe Gibbs),Toyota,197,crash,0,1,0,Kansas
36,37,3,20,Matt Kenseth,DeWalt FlexVolt (Joe Gibbs),Toyota,197,crash,0,10,0,Kansas
37,38,22,10,Danica Patrick,Code 3 Associates (Stewart Haas Racing),Ford,197,crash,0,1,0,Kansas
38,39,13,42,Kyle Larson,Credit One Bank (Chip Ganassi),Chevrolet,73,engine,0,1,0,Kansas
39,40,39,0,Derrike Cope,StarCom Fiber (StarCom Racing),Chevrolet,35,handling,0,1,0,Kansas
0,1,14,18,Kyle Busch,M&M's Halloween (Joe Gibbs),Toyota,505,running,184,58,5,Martinsville
1,2,2,78,"Martin Truex, Jr.",Furniture Row / Denver Mattress (Barney Visser),Toyota,505,running,0,48,0,Martinsville
2,3,5,14,Clint Bowyer,Haas Automation (Stewart Haas Racing),Ford,505,running,0,26,0,Martinsville
3,4,7,2,Brad Keselowski,Alliance Truck Parts (Roger Penske),Ford,505,running,108,53,2,Martinsville
4,5,13,4,Kevin Harvick,Busch NA (Stewart Haas Racing),Ford,505,running,0,36,0,Martinsville
5,6,34,6,Trevor Bayne,Ford EcoBoost (Jack Roush),Ford,505,running,0,31,0,Martinsville
6,7,6,11,Denny Hamlin,FedEx / Walgreen's (Joe Gibbs),Toyota,505,running,7,31,0,Martinsville
7,8,4,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,505,running,0,38,0,Martinsville
8,9,17,20,Matt Kenseth,DeWalt FlexVolt (Joe Gibbs),Toyota,505,running,0,31,0,Martinsville
9,10,22,17,"Ricky Stenhouse, Jr.",Fifth Third Bank (Jack Roush),Ford,505,running,0,27,0,Martinsville
10,11,21,88,"Dale Earnhardt, Jr.",Nationwide Insurance (Rick Hendrick),Chevrolet,505,running,0,26,0,Martinsville
11,12,24,48,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,505,running,24,33,0,Martinsville
12,13,25,3,Austin Dillon,Dow (Richard Childress),Chevrolet,505,running,0,26,0,Martinsville
13,14,18,31,Ryan Newman,Caterpillar (Richard Childress),Chevrolet,505,running,0,23,0,Martinsville
14,15,15,19,Daniel Suarez,Arris High-Speed Modems (Joe Gibbs),Toyota,505,running,0,22,0,Martinsville
15,16,12,5,Kasey Kahne,UniFirst Uniforms (Rick Hendrick),Chevrolet,505,running,0,24,0,Martinsville
16,17,23,10,Danica Patrick,Ford Warriors in Pink (Stewart Haas Racing),Ford,505,running,0,20,0,Martinsville
17,18,10,43,Aric Almirola,Smithfield (Richard Petty Motorsports),Ford,505,running,0,19,0,Martinsville
18,19,20,95,Michael McDowell,Rohto Jolt Eyedrops (Leavine Family Racing),Chevrolet,505,running,0,18,0,Martinsville
19,20,19,27,Paul Menard,Libman / Menards (Richard Childress),Chevrolet,505,running,0,17,0,Martinsville
20,21,29,37,Chris Buescher,Bush's Chili Beans (JTG-Daugherty Racing),Chevrolet,505,running,0,16,0,Martinsville
21,22,11,41,Kurt Busch,State Water Heaters (Stewart Haas Racing),Ford,505,running,0,15,0,Martinsville
22,23,33,34,Landon Cassill,"CSX ""Play It Safe"" (Bob Jenkins)",Ford,505,running,0,14,0,Martinsville
23,24,1,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,504,running,59,29,0,Martinsville
24,25,30,72,Cole Whitt,TriStar Motorsports (Bryan Smith),Chevrolet,504,running,0,12,0,Martinsville
25,26,8,77,Erik Jones,SiriusXM (Barney Visser),Toyota,504,running,0,11,0,Martinsville
26,27,3,24,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,504,running,123,21,0,Martinsville
27,28,31,38,David Ragan,TheHouse.com (Bob Jenkins),Ford,503,running,0,9,0,Martinsville
28,29,16,1,Jamie McMurray,McDonald's (Chip Ganassi),Chevrolet,503,running,0,8,0,Martinsville
29,30,26,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,501,running,0,7,0,Martinsville
30,31,35,83,Gray Gaulding,Autism Speaks (BK Racing),Toyota,501,running,0,6,0,Martinsville
31,32,32,15,Reed Sorenson,Low T Centers (Jay Robinson),Chevrolet,500,running,0,5,0,Martinsville
32,33,36,23,Corey LaJoie,Schulter Systems (BK Racing),Toyota,500,running,0,4,0,Martinsville
33,34,40,7,Hermie Sadler,"Virginia Lottery (Tommy Baldwin, Jr.)",Chevrolet,494,running,0,3,0,Martinsville
34,35,38,51,Kyle Weatherman,Lilly Trucking / Spoonful of Music Fnd. (Rick Ware),Chevrolet,488,running,0,2,0,Martinsville
35,36,39,66,Carl Long,OCR Gaz Bar / Mohawk Market (Carl Long),Chevrolet,444,crash,0,0,0,Martinsville
36,37,9,42,Kyle Larson,First Data / CardConnect (Chip Ganassi),Chevrolet,300,crash,0,1,0,Martinsville
37,38,37,33,Jeffrey Earnhardt,Hulu (Joe Falk),Chevrolet,274,rear gear,0,1,0,Martinsville
38,39,28,32,Matt DiBenedetto,Keen Parts (Archie St. Hilaire),Ford,187,electrical,0,1,0,Martinsville
39,40,27,47,A.J. Allmendinger,Kroger ClickList / Butterfinger / Crest (JTG-Daugherty Racing),Chevrolet,94,crash,0,1,0,Martinsville
0,1,3,4,Kevin Harvick,Mobil 1 (Stewart Haas Racing),Ford,334,running,38,59,6,Fort Worth
1,2,7,78,"Martin Truex, Jr.",Bass Pro Shops / Tracker Boats (Barney Visser),Toyota,334,running,107,51,0,Fort Worth
2,3,2,11,Denny Hamlin,FedEx Office (Joe Gibbs),Toyota,334,running,65,47,0,Fort Worth
3,4,35,20,Matt Kenseth,XFINITY Team USA (Joe Gibbs),Toyota,334,running,29,40,0,Fort Worth
4,5,10,2,Brad Keselowski,Wurth (Roger Penske),Ford,334,running,0,32,0,Fort Worth
5,6,8,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,334,running,0,42,0,Fort Worth
6,7,36,22,Joey Logano,AAA (Roger Penske),Ford,334,running,1,30,0,Fort Worth
7,8,34,24,Chase Elliott,Hooters (Rick Hendrick),Chevrolet,334,running,1,35,0,Fort Worth
8,9,1,41,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,334,running,0,38,0,Fort Worth
9,10,4,77,Erik Jones,Sport Clips (Barney Visser),Toyota,334,running,0,34,0,Fort Worth
10,11,19,5,Kasey Kahne,Great Clips / Justice League (Rick Hendrick),Chevrolet,334,running,3,26,0,Fort Worth
11,12,12,17,"Ricky Stenhouse, Jr.",Fastenal / Loctite (Jack Roush),Ford,334,running,0,25,0,Fort Worth
12,13,15,3,Austin Dillon,Dow / Winter in PyeongChang (Richard Childress),Chevrolet,334,running,1,27,0,Fort Worth
13,14,6,19,Daniel Suarez,Arris High-Speed Modems (Joe Gibbs),Toyota,334,running,0,24,0,Fort Worth
14,15,18,43,Aric Almirola,Smithfield (Richard Petty Motorsports),Ford,334,running,0,22,0,Fort Worth
15,16,16,47,A.J. Allmendinger,Kroger ClickList / Stouffer's / Suave Men (JTG-Daugherty Racing),Chevrolet,334,running,0,21,0,Fort Worth
16,17,14,10,Danica Patrick,Aspen Dental $10M for Veterans (Stewart Haas Racing),Ford,333,running,0,20,0,Fort Worth
17,18,13,1,Jamie McMurray,Cessna / Textron Off-Road (Chip Ganassi),Chevrolet,333,running,0,19,0,Fort Worth
18,19,5,18,Kyle Busch,M&M's Caramel (Joe Gibbs),Toyota,333,running,7,18,0,Fort Worth
19,20,25,31,Ryan Newman,Grainger (Richard Childress),Chevrolet,333,running,1,17,0,Fort Worth
20,21,23,95,Michael McDowell,Rohto Jolt Eyedrops (Leavine Family Racing),Chevrolet,333,running,4,16,0,Fort Worth
21,22,26,37,Chris Buescher,Bush's Chili Beans / Tide / Clorox (JTG-Daugherty Racing),Chevrolet,333,running,0,15,0,Fort Worth
22,23,21,27,Paul Menard,Atlas / Menards (Richard Childress),Chevrolet,332,running,0,14,0,Fort Worth
23,24,27,13,Ty Dillon,GEICO Military (Germain Racing),Chevrolet,332,running,0,13,0,Fort Worth
24,25,28,32,Matt DiBenedetto,Can-Am / Kappa (Archie St. Hilaire),Ford,332,running,0,12,0,Fort Worth
25,26,22,34,Landon Cassill,Love's Travel Stops / SpeedCo (Bob Jenkins),Ford,331,running,0,11,0,Fort Worth
26,27,9,48,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,331,running,0,10,0,Fort Worth
27,28,37,6,Trevor Bayne,AdvoCare (Jack Roush),Ford,330,running,0,9,0,Fort Worth
28,29,29,72,Cole Whitt,TriStar Motorsports (Bryan Smith),Chevrolet,330,running,0,8,0,Fort Worth
29,30,24,38,David Ragan,TheHouse.com (Bob Jenkins),Ford,329,running,0,7,0,Fort Worth
30,31,38,15,Reed Sorenson,Low T Centers (Jay Robinson),Chevrolet,325,running,0,6,0,Fort Worth
31,32,30,7,Joey Gase,"DonateLifeTexas.org (Tommy Baldwin, Jr.)",Chevrolet,322,running,0,0,0,Fort Worth
32,33,32,33,Jeffrey Earnhardt,Hulu (Joe Falk),Chevrolet,322,running,0,4,0,Fort Worth
33,34,31,51,"Ray Black, Jr.",ScubaLife (Rick Ware),Chevrolet,305,running,0,0,0,Fort Worth
34,35,17,88,"Dale Earnhardt, Jr.",Nationwide / Justice League (Rick Hendrick),Chevrolet,304,running,3,2,0,Fort Worth
35,36,20,14,Clint Bowyer,Rush Truck Centers / Mobil Delvac 1 (Stewart Haas Racing),Ford,303,running,0,1,0,Fort Worth
36,37,11,42,Kyle Larson,Credit One Bank (Chip Ganassi),Chevrolet,282,crash,74,18,1,Fort Worth
37,38,33,66,David Starr,Moore Freight Service (Carl Long),Chevrolet,237,crash,0,0,0,Fort Worth
38,39,39,23,Corey LaJoie,Dr. Pepper (BK Racing),Toyota,227,engine,0,1,0,Fort Worth
39,40,40,83,Gray Gaulding,Earthwater (BK Racing),Toyota,159,engine,0,1,0,Fort Worth
0,1,7,20,Matt Kenseth,Circle K (Joe Gibbs),Toyota,312,running,62,56,5,Phoenix
1,2,4,24,Chase Elliott,Hooters (Rick Hendrick),Chevrolet,312,running,34,45,0,Phoenix
2,3,5,78,"Martin Truex, Jr.",Auto-Owners Insurance (Barney Visser),Toyota,312,running,0,44,0,Phoenix
3,4,11,77,Erik Jones,5-hour Energy Extra Strength (Barney Visser),Toyota,312,running,0,45,0,Phoenix
4,5,6,4,Kevin Harvick,Busch Light (Stewart Haas Racing),Ford,312,running,0,43,0,Phoenix
5,6,13,1,Jamie McMurray,Cessna (Chip Ganassi),Chevrolet,312,running,0,35,0,Phoenix
6,7,8,18,Kyle Busch,M&M's Caramel (Joe Gibbs),Toyota,312,running,0,41,0,Phoenix
7,8,27,17,"Ricky Stenhouse, Jr.",Robert Yates Tribute (Jack Roush),Ford,312,running,0,29,0,Phoenix
8,9,22,43,Aric Almirola,U.S. Air Force (Richard Petty Motorsports),Ford,312,running,0,28,0,Phoenix
9,10,14,88,"Dale Earnhardt, Jr.",Nationwide Insurance (Rick Hendrick),Chevrolet,312,running,0,27,0,Phoenix
10,11,29,13,Ty Dillon,GEICO Military (Germain Racing),Chevrolet,312,running,0,26,0,Phoenix
11,12,9,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,312,running,0,25,0,Phoenix
12,13,20,14,Clint Bowyer,USA Network Damnation (Stewart Haas Racing),Ford,312,running,0,25,0,Phoenix
13,14,21,3,Austin Dillon,Realtree (Richard Childress),Chevrolet,312,running,0,23,0,Phoenix
14,15,19,27,Paul Menard,Duracell / Menards (Richard Childress),Chevrolet,312,running,0,22,0,Phoenix
15,16,16,2,Brad Keselowski,Miller Lite (Roger Penske),Ford,312,running,0,21,0,Phoenix
16,17,1,21,Ryan Blaney,SKF / Quick Lane Tire & Auto Center (Wood Brothers),Ford,312,running,11,20,0,Phoenix
17,18,10,19,Daniel Suarez,Stanley Tools (Joe Gibbs),Toyota,312,running,0,19,0,Phoenix
18,19,17,5,Kasey Kahne,Farmers Insurance (Rick Hendrick),Chevrolet,311,running,0,18,0,Phoenix
19,20,18,31,Ryan Newman,Caterpillar (Richard Childress),Chevrolet,311,running,0,22,0,Phoenix
20,21,15,41,Kurt Busch,Monster Energy / Haas Automation (Stewart Haas Racing),Ford,310,running,0,16,0,Phoenix
21,22,28,95,Michael McDowell,Rohto Jolt Eyedrops (Leavine Family Racing),Chevrolet,309,running,0,15,0,Phoenix
22,23,23,47,A.J. Allmendinger,Fry's ClickList / Hot Pockets / Dawn (JTG-Daugherty Racing),Chevrolet,309,running,0,14,0,Phoenix
23,24,32,34,Landon Cassill,Love's Travel Stops / Roller Bites (Bob Jenkins),Ford,309,running,0,13,0,Phoenix
24,25,24,10,Danica Patrick,Code 3 Associates (Stewart Haas Racing),Ford,309,running,0,12,0,Phoenix
25,26,37,15,D.J. Kennington,Northern Provincial Pipelines (Jay Robinson),Chevrolet,307,running,0,11,0,Phoenix
26,27,30,32,Matt DiBenedetto,Can-Am / Kappa (Archie St. Hilaire),Ford,306,running,0,10,0,Phoenix
27,28,36,66,David Starr,Eureka (Carl Long),Toyota,305,running,0,0,0,Phoenix
28,29,38,33,Jeffrey Earnhardt,Hulu (Joe Falk),Chevrolet,305,running,0,8,0,Phoenix
29,30,35,7,Joey Gase,"Eternal Fan (Tommy Baldwin, Jr.)",Chevrolet,304,running,0,0,0,Phoenix
30,31,33,23,Corey LaJoie,Fresh Beards / Earthwater (BK Racing),Toyota,303,running,0,6,0,Phoenix
31,32,40,0,Derrike Cope,StarCom Fiber / Ashurst American Honey (StarCom Racing),Chevrolet,302,running,0,5,0,Phoenix
32,33,26,38,David Ragan,1000Bulbs.com (Bob Jenkins),Ford,301,running,0,4,0,Phoenix
33,34,39,51,Kyle Weatherman,Prevagen (Rick Ware),Chevrolet,294,running,0,3,0,Phoenix
34,35,2,11,Denny Hamlin,FedEx Ground (Joe Gibbs),Toyota,275,crash,193,21,1,Phoenix
35,36,34,72,Cole Whitt,TriStar Motorsports (Bryan Smith),Chevrolet,258,crash,0,1,0,Phoenix
36,37,31,37,Chris Buescher,Clorox / Hellmann's / Hungry Jack (JTG-Daugherty Racing),Chevrolet,247,crash,0,1,0,Phoenix
37,38,25,6,Trevor Bayne,Ford EcoBoost (Jack Roush),Ford,226,crash,0,1,0,Phoenix
38,39,12,48,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,148,crash,0,2,0,Phoenix
39,40,3,42,Kyle Larson,Refresh Your Car! (Chip Ganassi),Chevrolet,104,engine,12,11,1,Phoenix
0,1,2,78,"Martin Truex, Jr.",Bass Pro Shops / Tracker Boats (Barney Visser),Toyota,267,running,78,40,0,Homestead
1,2,3,18,Kyle Busch,M&M's Caramel (Joe Gibbs),Toyota,267,running,43,35,0,Homestead
2,3,7,42,Kyle Larson,Credit One Bank / DC Solar (Chip Ganassi),Chevrolet,267,running,145,54,2,Homestead
3,4,9,4,Kevin Harvick,Jimmy John's (Stewart Haas Racing),Ford,267,running,0,33,0,Homestead
4,5,18,24,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,267,running,0,39,0,Homestead
5,6,19,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,267,running,0,36,0,Homestead
6,7,5,2,Brad Keselowski,Miller Lite (Roger Penske),Ford,267,running,1,30,0,Homestead
7,8,4,20,Matt Kenseth,DeWalt Hurricane Relief (Joe Gibbs),Toyota,267,running,0,33,0,Homestead
8,9,1,11,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,267,running,0,32,0,Homestead
9,10,21,31,Ryan Newman,Caterpillar (Richard Childress),Chevrolet,267,running,0,27,0,Homestead
10,11,17,3,Austin Dillon,Dow / WeatherTech (Richard Childress),Chevrolet,267,running,0,26,0,Homestead
11,12,16,14,Clint Bowyer,Haas Automation (Stewart Haas Racing),Ford,267,running,0,26,0,Homestead
12,13,13,1,Jamie McMurray,McDonald's (Chip Ganassi),Chevrolet,266,running,0,24,0,Homestead
13,14,26,47,A.J. Allmendinger,Kroger ClickList / DiGiorno / Cheez-It (JTG-Daugherty Racing),Chevrolet,266,running,0,23,0,Homestead
14,15,6,17,"Ricky Stenhouse, Jr.",3M / Fastenal (Jack Roush),Ford,266,running,0,22,0,Homestead
15,16,15,27,Paul Menard,Richmond / Menards (Richard Childress),Chevrolet,265,running,0,21,0,Homestead
16,17,30,38,David Ragan,Weather Channel / Flagship Solutions (Bob Jenkins),Ford,265,running,0,20,0,Homestead
17,18,20,43,Aric Almirola,Smithfield (Richard Petty Motorsports),Ford,265,running,0,19,0,Homestead
18,19,12,6,Trevor Bayne,Roush Performance (Jack Roush),Ford,265,running,0,18,0,Homestead
19,20,29,37,Chris Buescher,Clorox / Kingsford / Scott Products (JTG-Daugherty Racing),Chevrolet,265,running,0,17,0,Homestead
20,21,14,77,Erik Jones,5-hour Energy Extra Strength (Barney Visser),Toyota,265,running,0,16,0,Homestead
21,22,8,41,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,265,running,0,24,0,Homestead
22,23,28,34,Landon Cassill,Love's Travel Stops / Roller Bites (Bob Jenkins),Ford,265,running,0,14,0,Homestead
23,24,23,95,Michael McDowell,Rohto Jolt Eyedrops (Leavine Family Racing),Chevrolet,265,running,0,13,0,Homestead
24,25,24,88,"Dale Earnhardt, Jr.",Axalta (Rick Hendrick),Chevrolet,264,running,0,12,0,Homestead
25,26,32,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,264,running,0,11,0,Homestead
26,27,22,48,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,264,running,0,10,0,Homestead
27,28,33,72,Cole Whitt,Rinnai (Bryan Smith),Chevrolet,264,running,0,9,0,Homestead
28,29,11,21,Ryan Blaney,SKF / Quick Lane Tire & Auto Center (Wood Brothers),Ford,264,running,0,8,0,Homestead
29,30,31,32,Matt DiBenedetto,Can-Am / Kappa (Archie St. Hilaire),Ford,263,running,0,7,0,Homestead
30,31,34,23,Corey LaJoie,MyFreedomSmokes.com (BK Racing),Toyota,261,running,0,0,0,Homestead
31,32,36,33,Jeffrey Earnhardt,Hulu (Joe Falk),Chevrolet,259,running,0,5,0,Homestead
32,33,27,5,Kasey Kahne,Great Clips (Rick Hendrick),Chevrolet,234,crash,0,4,0,Homestead
33,34,10,19,Daniel Suarez,Arris High-Speed Modems (Joe Gibbs),Toyota,225,brakes,0,3,0,Homestead
34,35,37,15,Reed Sorenson,Xchange of America (Jay Robinson),Chevrolet,212,engine,0,2,0,Homestead
35,36,38,66,David Starr,Eureka (Carl Long),Chevrolet,175,brakes,0,0,0,Homestead
36,37,25,10,Danica Patrick,Aspen Dental (Stewart Haas Racing),Ford,139,crash,0,1,0,Homestead
37,38,39,51,"Ray Black, Jr.",ScubaLife (Rick Ware),Chevrolet,49,too slow,0,0,0,Homestead
38,39,35,83,Joey Gase,Eternal Fan / Premier Millwright (BK Racing),Toyota,4,crash,0,0,0,Homestead
0,1,14,3,Austin Dillon,Dow (Richard Childress),Chevrolet,207,running,1,42,5,Daytona
1,2,7,43,Bubba Wallace,Click n' Close (Richard Petty Motorsports),Chevrolet,207,running,0,39,0,Daytona
2,3,2,11,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,207,running,22,35,0,Daytona
3,4,5,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,207,running,3,41,0,Daytona
4,5,21,37,Chris Buescher,Kleenex / Cottonelle / Bush's Beans (JTG-Daugherty Racing),Chevrolet,207,running,0,32,0,Daytona
5,6,16,21,Paul Menard,Omnicraft Auto Parts / Quick Lane Tire & Auto (Wood Brothers),Ford,207,running,1,42,0,Daytona
6,7,3,12,Ryan Blaney,Menards / Peak (Roger Penske),Ford,207,running,118,48,1,Daytona
7,8,13,31,Ryan Newman,Bass Pro Shops / Cabela's (Richard Childress),Chevrolet,207,running,0,29,0,Daytona
8,9,22,34,Michael McDowell,Love's Travel Stops / Speedco (Bob Jenkins),Ford,207,running,0,39,0,Daytona
9,10,20,47,A.J. Allmendinger,Kroger ClickList / Velveeta / Cheerios (JTG-Daugherty Racing),Chevrolet,207,running,1,27,0,Daytona
10,11,37,10,Aric Almirola,Smithfield (Stewart Haas Racing),Ford,206,running,1,33,0,Daytona
11,12,29,51,Justin Marks,Harry's (Rick Ware),Chevrolet,206,running,1,0,0,Daytona
12,13,18,6,Trevor Bayne,AdvoCare 25th Anniversary (Jack Roush),Ford,206,running,0,28,0,Daytona
13,14,39,92,David Gilliland,Black's Tire Service / Carquest Auto Parts (Ricky Benton),Ford,206,running,0,0,0,Daytona
14,15,10,14,Clint Bowyer,Rush Truck Centers / Mobil 1 (Stewart Haas Racing),Ford,206,running,0,22,0,Daytona
15,16,19,1,Jamie McMurray,McDonald's / Cessna (Chip Ganassi),Chevrolet,205,running,0,21,0,Daytona
16,17,1,88,Alex Bowman,Nationwide Insurance (Rick Hendrick),Chevrolet,205,running,13,29,0,Daytona
17,18,24,78,"Martin Truex, Jr.",Bass Pro Shops / 5-hour Energy (Barney Visser),Toyota,205,running,4,30,0,Daytona
18,19,38,42,Kyle Larson,Credit One Bank (Chip Ganassi),Chevrolet,204,running,0,18,0,Daytona
19,20,34,23,Gray Gaulding,Earthwater (BK Racing),Toyota,204,running,0,17,0,Daytona
20,21,27,0,Jeffrey Earnhardt,VRX Simulators (StarCom Racing),Chevrolet,204,running,0,16,0,Daytona
21,22,40,66,Mark Thompson,Phoenix Air Racing (Carl Long),Ford,203,running,0,15,0,Daytona
22,23,33,24,William Byron,Axalta (Rick Hendrick),Chevrolet,203,running,0,14,0,Daytona
23,24,30,96,D.J. Kennington,Lordco Auto Parts / Castrol (Gaunt Brothers),Toyota,201,running,0,13,0,Daytona
24,25,12,18,Kyle Busch,M&M's (Joe Gibbs),Toyota,200,running,0,12,0,Daytona
25,26,11,41,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,198,crash,16,21,1,Daytona
26,27,36,32,Matt DiBenedetto,The Hurricane Heist (Archie St. Hilaire),Ford,198,crash,0,10,0,Daytona
27,28,25,62,Brendan Gaughan,Beard Oil Dist. / South Point Hotel & Casino (Beard Motorsports),Chevrolet,198,crash,0,9,0,Daytona
28,29,9,17,"Ricky Stenhouse, Jr.",3M / Fastenal (Jack Roush),Ford,197,crash,11,15,0,Daytona
29,30,15,38,David Ragan,Speedco / Love's Travel Stops (Bob Jenkins),Ford,107,crash,0,7,0,Daytona
30,31,6,4,Kevin Harvick,Jimmy John's (Stewart Haas Racing),Ford,105,crash,0,10,0,Daytona
31,32,31,2,Brad Keselowski,Discount Tire / Bruce Halle 1930-2018 (Roger Penske),Ford,102,crash,0,5,0,Daytona
32,33,4,9,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,101,crash,4,7,0,Daytona
33,34,26,95,Kasey Kahne,Procore (Leavine Family Racing),Chevrolet,101,crash,0,3,0,Daytona
34,35,28,7,Danica Patrick,GoDaddy / Warrior by Danica Patrick (Jay Robinson),Chevrolet,101,crash,0,2,0,Daytona
35,36,8,20,Erik Jones,DeWalt (Joe Gibbs),Toyota,59,crash,11,1,0,Daytona
36,37,17,19,Daniel Suarez,Arris (Joe Gibbs),Toyota,59,crash,0,1,0,Daytona
37,38,35,48,Jimmie Johnson,Lowe's for Pros (Rick Hendrick),Chevrolet,59,crash,0,1,0,Daytona
38,39,23,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,59,crash,0,1,0,Daytona
39,40,32,72,Corey LaJoie,Schluter Systems (Bryan Smith),Chevrolet,8,engine,0,1,0,Daytona
0,1,3,4,Kevin Harvick,Jimmy John's (Stewart Haas Racing),Ford,325,running,181,56,6,Atlanta
1,2,5,2,Brad Keselowski,AutoTrader (Roger Penske),Ford,325,running,38,53,1,Atlanta
2,3,9,14,Clint Bowyer,Haas Automation (Stewart Haas Racing),Ford,325,running,0,45,0,Atlanta
3,4,12,11,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,325,running,26,40,0,Atlanta
4,5,35,78,"Martin Truex, Jr.",Bass Pro Shops / 5-hour Energy (Barney Visser),Toyota,325,running,1,39,0,Atlanta
5,6,16,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,325,running,1,39,0,Atlanta
6,7,1,18,Kyle Busch,Snickers Almond (Joe Gibbs),Toyota,325,running,9,43,0,Atlanta
7,8,7,41,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,325,running,52,41,0,Atlanta
8,9,8,42,Kyle Larson,First Data / Clover (Chip Ganassi),Chevrolet,325,running,0,36,0,Atlanta
9,10,27,9,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,325,running,0,27,0,Atlanta
10,11,10,20,Erik Jones,DeWalt (Joe Gibbs),Toyota,325,running,0,26,0,Atlanta
11,12,26,12,Ryan Blaney,DEX Imaging (Roger Penske),Ford,325,running,0,25,0,Atlanta
12,13,11,10,Aric Almirola,Smithfield (Stewart Haas Racing),Ford,325,running,0,33,0,Atlanta
13,14,25,3,Austin Dillon,Dow (Richard Childress),Chevrolet,324,running,0,23,0,Atlanta
14,15,4,19,Daniel Suarez,Arris Hi-Speed Modems (Joe Gibbs),Toyota,324,running,0,23,0,Atlanta
15,16,6,17,"Ricky Stenhouse, Jr.",Ford (Jack Roush),Ford,324,running,0,21,0,Atlanta
16,17,15,21,Paul Menard,Menards / Moen (Wood Brothers),Ford,324,running,0,20,0,Atlanta
17,18,23,24,William Byron,Liberty University (Rick Hendrick),Chevrolet,323,running,0,19,0,Atlanta
18,19,13,1,Jamie McMurray,McDonald's (Chip Ganassi),Chevrolet,323,running,0,18,0,Atlanta
19,20,18,88,Alex Bowman,Axalta (Rick Hendrick),Chevrolet,322,running,0,17,0,Atlanta
20,21,14,95,Kasey Kahne,Procore / Habitat for Humanity (Leavine Family Racing),Chevrolet,322,running,0,16,0,Atlanta
21,22,2,31,Ryan Newman,Liberty National Life Insurance (Richard Childress),Chevrolet,322,running,17,15,0,Atlanta
22,23,29,38,David Ragan,FR8 Auctions (Bob Jenkins),Ford,321,running,0,14,0,Atlanta
23,24,17,34,Michael McDowell,Love's Travel Stops / Speedco (Bob Jenkins),Ford,321,running,0,13,0,Atlanta
24,25,24,37,Chris Buescher,Original Louisiana Hot Sauce / Tyson / Bush's (JTG-Daugherty Racing),Chevrolet,321,running,0,12,0,Atlanta
25,26,28,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,321,running,0,11,0,Atlanta
26,27,22,48,Jimmie Johnson,Lowe's for Pros (Rick Hendrick),Chevrolet,321,running,0,10,0,Atlanta
27,28,32,72,Cole Whitt,TriStar Motorsports (Bryan Smith),Chevrolet,320,running,0,9,0,Atlanta
28,29,21,47,A.J. Allmendinger,Kroger ClickList / Hellmann's / Cheerios (JTG-Daugherty Racing),Chevrolet,320,running,0,8,0,Atlanta
29,30,34,15,Ross Chastain,Low T Centers (Jay Robinson),Chevrolet,319,running,0,0,0,Atlanta
30,31,30,32,Matt DiBenedetto,Can-Am / Wholey (Archie St. Hilaire),Ford,319,running,0,6,0,Atlanta
31,32,19,43,Bubba Wallace,NASCAR Racing Experience (Richard Petty Motorsports),Chevrolet,319,running,0,5,0,Atlanta
32,33,36,51,Harrison Rhodes,Davis Roofing / ICE (Rick Ware),Chevrolet,310,running,0,4,0,Atlanta
