,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track
14,15,26,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,325,running,0,22,0,Atlanta
15,16,3,18,Kyle Busch,Snickers Crisper (Joe Gibbs),Toyota,325,running,0,21,0,Atlanta
16,17,24,10,Danica Patrick,Aspen Dental (Stewart Haas Racing),Ford,325,running,0,20,0,Atlanta
17,18,14,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,324,running,0,19,0,Atlanta
18,19,18,48,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,324,running,2,19,0,Atlanta
19,20,37,72,Cole Whitt,Rinnai Tankless Water Heaters (Mark Smith),Chevrolet,324,running,0,17,0,Atlanta
20,21,21,19,Daniel Suarez,Arris High-Speed Modems (Joe Gibbs),Toyota,323,running,0,16,0,Atlanta
21,22,27,34,Landon Cassill,"CSX ""Play It Safe"" (Bob Jenkins)",Ford,323,running,0,15,0,Atlanta
22,23,34,38,David Ragan,Camping World / Good Sam (Bob Jenkins),Ford,323,running,0,14,0,Atlanta
23,24,28,37,Chris Buescher,Bush's Beans / Cheez-It / Tide / Tyson (JTG-Daugherty Racing),Chevrolet,323,running,0,13,0,Atlanta
24,25,17,27,Paul Menard,Richmond / Menards (Richard Childress),Chevrolet,322,running,0,12,0,Atlanta
25,26,20,47,A.J. Allmendinger,Kroger ClickList / Lean Cusine / Cheerios (JTG-Daugherty Racing),Chevrolet,322,running,0,-24,0,Atlanta
26,27,30,43,Aric Almirola,Waffle House / Smithfield (Richard Petty Motorsports),Ford,321,running,0,10,0,Atlanta
27,28,22,32,Matt DiBenedetto,Can-Am / Kappa (Archie St. Hilaire),Ford,321,running,0,9,0,Atlanta
28,29,36,95,Michael McDowell,WRL General Contractors (Leavine Family Racing),Chevrolet,320,running,0,8,0,Atlanta
29,30,12,88,"Dale Earnhardt, Jr.",Nationwide Insurance (Rick Hendrick),Chevrolet,320,running,0,7,0,Atlanta
30,31,33,15,Reed Sorenson,The Maids (Jay Robinson),Chevrolet,320,running,0,6,0,Atlanta
31,32,19,3,Austin Dillon,Dow / Quikrete (Richard Childress),Chevrolet,319,running,0,10,0,Atlanta
32,33,35,33,Jeffrey Earnhardt,Circle Sport Racing with TMG (Joe Falk),Chevrolet,317,running,0,4,0,Atlanta
33,34,32,83,Corey LaJoie,Dustless Blasting (BK Racing),Toyota,313,running,0,3,0,Atlanta
34,35,2,31,Ryan Newman,Caterpillar (Richard Childress),Chevrolet,309,running,3,15,0,Atlanta
35,36,38,55,Derrike Cope,Wade Tractor & Equipment (Jay Robinson),Chevrolet,298,running,0,1,0,Atlanta
36,37,31,23,Gray Gaulding,Dr. Pepper (BK Racing),Toyota,253,engine,0,1,0,Atlanta
37,38,10,11,Denny Hamlin,FedEx Ground (Joe Gibbs),Toyota,182,rear end,0,4,0,Atlanta
38,39,39,51,Cody Ware,Spoonful of Music Foundation / Bubba Burger (Rick Ware),Chevrolet,74,steering,0,1,0,Atlanta
0,1,2,78,"Martin Truex, Jr.",Bass Pro Shops / Tracker Boats (Barney Visser),Toyota,267,running,150,60,7,Las Vegas
1,2,5,42,Kyle Larson,Target / Cottonelle (Chip Ganassi),Chevrolet,267,running,0,52,0,Las Vegas
2,3,12,24,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,267,running,0,47,0,Las Vegas
3,4,6,22,Joey Logano,Pennzoil (Roger Penske),Ford,267,running,5,39,0,Las Vegas
4,5,1,2,Brad Keselowski,Miller Lite (Roger Penske),Ford,267,running,89,48,0,Las Vegas
5,6,15,11,Denny Hamlin,FedEx Office (Joe Gibbs),Toyota,267,running,0,31,0,Las Vegas
6,7,3,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,267,running,0,43,0,Las Vegas
7,8,10,1,Jamie McMurray,Credit One Bank / Cessna (Chip Ganassi),Chevrolet,267,running,0,37,0,Las Vegas
8,9,4,20,Matt Kenseth,BlueDEF Diesel Exhaust Fluid (Joe Gibbs),Toyota,267,running,0,30,0,Las Vegas
9,10,13,14,Clint Bowyer,Haas Automation (Stewart Haas Racing),Ford,267,running,0,27,0,Las Vegas
10,11,16,48,Jimmie Johnson,Lowe's / Kobalt Tools (Rick Hendrick),Chevrolet,267,running,19,31,0,Las Vegas
11,12,7,5,Kasey Kahne,LiftMaster (Rick Hendrick),Chevrolet,267,running,0,25,0,Las Vegas
12,13,20,6,Trevor Bayne,Performance Plus Motor Oil (Jack Roush),Ford,267,running,0,24,0,Las Vegas
13,14,30,43,Aric Almirola,Smithfield (Richard Petty Motorsports),Ford,267,running,0,23,0,Las Vegas
14,15,8,77,Erik Jones,5-hour Energy Extra Strength (Barney Visser),Toyota,267,running,0,22,0,Las Vegas
15,16,18,88,"Dale Earnhardt, Jr.",Nationwide Insurance (Rick Hendrick),Chevrolet,267,running,0,26,0,Las Vegas
16,17,21,31,Ryan Newman,Caterpillar (Richard Childress),Chevrolet,267,running,0,22,0,Las Vegas
17,18,26,95,Michael McDowell,WRL General Contractors (Leavine Family Racing),Chevrolet,267,running,2,19,0,Las Vegas
18,19,14,27,Paul Menard,Valvoline / Menards (Richard Childress),Chevrolet,267,running,0,18,0,Las Vegas
19,20,11,19,Daniel Suarez,Arris High-Speed Modems (Joe Gibbs),Toyota,267,running,0,17,0,Las Vegas
20,21,24,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,267,running,2,16,0,Las Vegas
21,22,9,18,Kyle Busch,M&M's (Joe Gibbs),Toyota,267,running,0,18,0,Las Vegas
22,23,25,37,Chris Buescher,Natural Light / Barstool Sports (JTG-Daugherty Racing),Chevrolet,266,running,0,14,0,Las Vegas
